,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
9882,Sidney A Murray Jr Hydroelectric,54678,LA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-91.618853,31.088011&level=14",-91.618853,31.088011
9883,Sidney MT Plant,57914,MT,Industrial CHP,--,--,--,,,,Other,"map/?center=-104.135556,47.717222&level=14",-104.135556,47.717222
9884,Siems Solar Project CSG,63657,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-92.55696,44.272392&level=14",-92.55696,44.272392
9885,Sierra Nevada Brewing Co Hybrid,58585,CA,Industrial CHP,"BA, GT, PV","MWH, NG, SUN",Multiple,,,,Other,"map/?center=-121.815278,39.724167&level=14",-121.815278,39.724167
9886,Sierra Pacific Aberdeen,55882,WA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-123.7739,46.9728&level=14",-123.7739,46.9728
9887,Sierra Pacific Burlington Facility,56406,WA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-122.4331,48.4481&level=14",-122.4331,48.4481
9888,Sierra Pacific Burney Facility,50110,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-121.7016,40.8767&level=14",-121.7016,40.8767
9889,Sierra Pacific Chinese Camp,65510,CA,Industrial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-120.454433,37.883393&level=14",-120.454433,37.883393
9890,Sierra Pacific Industries (2042-RD),63416,CA,Industrial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-122.191944,40.121389&level=14",-122.191944,40.121389
9891,Sierra Pacific Lincoln Facility,10144,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-121.3097,38.9032&level=14",-121.3097,38.9032
9892,Sierra Pacific Quincy Facility,50112,CA,Industrial Non-CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-120.909211,39.941165&level=14",-120.909211,39.941165
9893,Sierra Pacific Sonora,54517,CA,Industrial Non-CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-120.317777,37.966389&level=14",-120.317777,37.966389
9894,Sierra Solar Greenworks,59431,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.334167,34.703611&level=14",-118.334167,34.703611
9895,Sigel Wind Park,57851,MI,Electric Utility,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-82.783611,43.850833&level=14",-82.783611,43.850833
9896,Sigmon Catawba Farm,58861,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.243333,35.612222&level=14",-81.243333,35.612222
9897,Signal Hill Generating LLC,50127,TX,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,,,,Natural Gas,"map/?center=-98.5894,33.8625&level=14",-98.5894,33.8625
9898,Signal Hill West Unit,57702,CA,Industrial Non-CHP,GT,OG,Other Gases,,,,Other,"map/?center=-118.175645,33.811182&level=14",-118.175645,33.811182
9899,Signature Breads Chelsea,64378,MA,Industrial Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-71.046617,42.393622&level=14",-71.046617,42.393622
9900,Sigurd Solar LLC,62666,UT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-112.005212,38.850544&level=14",-112.005212,38.850544
9901,Sikeston Power Station,6768,MO,Electric Utility,ST,SUB,Conventional Steam Coal,1287,547,740,Coal,"map/?center=-89.6209,36.8791&level=14",-89.6209,36.8791
9902,Sikorsky Aircraft CHP,61703,CT,Industrial CHP,"GT, PV, ST","NG, SUN",Multiple,,,,Other,"map/?center=-73.09865,41.250009&level=14",-73.09865,41.250009
9903,Silas Ray,3559,TX,Electric Utility,"CA, CT, GT, IC","DFO, NG",Multiple,,,,Other,"map/?center=-97.5214,25.9131&level=14",-97.5214,25.9131
9904,"Siler 421 Farm, LLC",61019,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.449675,35.747372&level=14",-79.449675,35.747372
9905,Siler City Solar 2,64121,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.465408,35.688107&level=14",-79.465408,35.688107
9906,Silicon Valley Clean Water,60249,CA,IPP CHP,"BA, IC","MWH, OBG",Multiple,,,,Other,"map/?center=-122.231119,37.542619&level=14",-122.231119,37.542619
9907,Silveira Ranch Road Solar,63762,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-122.56565,38.153474&level=14",-122.56565,38.153474
9908,Silver Bay Power,10849,MN,Industrial CHP,ST,SUB,Conventional Steam Coal,--,--,--,Coal,"map/?center=-91.260531,47.286573&level=14",-91.260531,47.286573
9909,Silver City WWTP PV Project,58540,NM,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-108.248056,32.713889&level=14",-108.248056,32.713889
9910,Silver Creek,7988,MS,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-89.9468,31.6004&level=14",-89.9468,31.6004
9911,Silver Lake (VT),3725,VT,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-73.053125,43.898584&level=14",-73.053125,43.898584
9912,Silver Lake Garden,63936,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.49541,44.00789&level=14",-93.49541,44.00789
9913,Silver Lake Solar Farm,57341,NJ,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.399511,40.494804&level=14",-74.399511,40.494804
9914,Silver Lake Solar Photovoltaic Facility,57676,MA,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.2403,42.4525&level=14",-73.2403,42.4525
9915,"Silver Lake Solar WI, LLC",67732,WI,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-88.189575,42.574884&level=14",-88.189575,42.574884
9916,Silver Maple,66283,ME,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-68.5201,44.7821&level=14",-68.5201,44.7821
9917,Silver Sage Windpower,57091,WY,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-105.024,41.12968&level=14",-105.024,41.12968
9918,Silver Star I Wind Power Project,56771,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-98.476051,32.338659&level=14",-98.476051,32.338659
9919,Silver State Solar Power North,57442,NV,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-115.35028,35.793056&level=14",-115.35028,35.793056
9920,Silver State Solar Power South,58644,NV,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-115.32,35.63&level=14",-115.32,35.63
9921,Silverhawk,55841,NV,Electric Utility,"CA, CT",NG,Natural Gas Fired Combined Cycle,--,--,--,Natural Gas,"map/?center=-114.9606,36.4078&level=14",-114.9606,36.4078
9922,Silverstrand Grid Energy Storage System,63735,CA,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-119.079813,34.20774&level=14",-119.079813,34.20774
9923,Silverton Solar,61829,OR,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-122.807,45.014&level=14",-122.807,45.014
9924,Silvi Gibraltar Rock,60746,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.717077,40.450916&level=14",-74.717077,40.450916
9925,Silvis,6581,AK,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-131.517758,55.381402&level=14",-131.517758,55.381402
9926,Sim Gideon,3601,TX,Electric Utility,ST,NG,Natural Gas Steam Turbine,148546,0,0,Natural Gas,"map/?center=-97.2708,30.1456&level=14",-97.2708,30.1456
9927,Simcoe Solar,60748,ID,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-115.955371,43.288439&level=14",-115.955371,43.288439
9928,Simon Solar Farm LLC,58628,GA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-83.675833,33.678056&level=14",-83.675833,33.678056
9929,Simons Farm,59149,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-76.997222,36.306389&level=14",-76.997222,36.306389
9930,Simplot Leasing Don Plant,50274,ID,Industrial CHP,ST,WH,All Other,,,,Other,"map/?center=-112.52944,42.908412&level=14",-112.52944,42.908412
9931,Simplot Phosphates,54472,WY,Industrial CHP,ST,WH,All Other,,,,Other,"map/?center=-109.1328,41.5417&level=14",-109.1328,41.5417
9932,Sinclair Dam,722,GA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-83.2018,33.1405&level=14",-83.2018,33.1405
9933,Sinclair Oil Refinery,54374,WY,Industrial CHP,"IC, ST","DFO, OG",Multiple,,,,Other,"map/?center=-107.10972,41.77952&level=14",-107.10972,41.77952
9934,Sioux,2107,MO,Electric Utility,ST,SUB,Conventional Steam Coal,211868,211868,--,Coal,"map/?center=-90.290247,38.915479&level=14",-90.290247,38.915479
9935,Siphon Drop Power Plant,57364,CA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-114.6344,32.7792&level=14",-114.6344,32.7792
9936,Siphon Power Project,50980,OR,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.3297,44.033022&level=14",-121.3297,44.033022
9937,Sissonville Hydro,10220,NY,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-75.002868,44.685589&level=14",-75.002868,44.685589
9938,Site 980 65,50322,CA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-119.899706,37.056803&level=14",-119.899706,37.056803
9939,Sithe Independence Station,54547,NY,IPP CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,953,--,953,Natural Gas,"map/?center=-76.4511,43.495&level=14",-76.4511,43.495
9940,Sixth Street Gas Turbine,6356,MI,Electric Utility,--,--,--,,,,Other,"map/?center=-86.103583,42.792645&level=14",-86.103583,42.792645
9941,Skagway,66,AK,Electric Utility,"HY, IC","DFO, WAT",Multiple,,,,Other,"map/?center=-135.3131,59.4545&level=14",-135.3131,59.4545
9942,Skalbeck Solar,66016,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-95.368805,44.787094&level=14",-95.368805,44.787094
9943,Skeleton Creek Energy Center Hybrid,62494,OK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-98.03436,36.521428&level=14",-98.03436,36.521428
9944,Skelton,1505,ME,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-70.5583,43.5708&level=14",-70.5583,43.5708
9945,Skidmore College,60425,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.81132,43.093682&level=14",-73.81132,43.093682
9946,Skillman,59057,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.648056,40.574444&level=14",-74.648056,40.574444
9947,Skipjack Solar Center,62675,VA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.158736,37.437106&level=14",-77.158736,37.437106
9948,Skookumchuck,7259,WA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-122.7197,46.7844&level=14",-122.7197,46.7844
9949,Skookumchuck Wind Facility,63205,WA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-122.664447,46.85074&level=14",-122.664447,46.85074
9950,Sky Global Power One,59938,TX,IPP Non-CHP,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-96.537778,29.550278&level=14",-96.537778,29.550278
9951,Sky River Wind Energy Center,50536,CA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.2469,35.2608&level=14",-118.2469,35.2608
9952,Sky Volt,58460,IA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-94.485,41.29&level=14",-94.485,41.29
9953,Skylark,60248,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.894792,40.577889&level=14",-104.894792,40.577889
9954,Skysol,66942,OR,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.49212,42.047765&level=14",-121.49212,42.047765
9955,Slana Generating Station	,61685,AK,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-143.588869,62.592756&level=14",-143.588869,62.592756
9956,Slate Creek,50961,CA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-122.456251,40.976859&level=14",-122.456251,40.976859
9957,Slate Creek Wind Project LLC,59837,KS,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-97.2376,37.1146&level=14",-97.2376,37.1146
