,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,GEOID,STATE,COUNTY,TRACT
3012,3012,Degray,187,AR,Electric Utility,"HY, PS",WAT,Multiple,,,,Other,"map/?center=-93.110963,34.211913&level=14",-93.110963,34.211913,05019953602,5.0,19.0,953602.0
3013,3013,Del Ranch Company,10632,CA,IPP Non-CHP,ST,GEO,Geothermal,,,,Renewable Energy Sources,"map/?center=-115.616,33.1646&level=14",-115.616,33.1646,06025010102,6.0,25.0,10102.0
3014,3014,Delanco,64411,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.9353,40.04936&level=14",-74.9353,40.04936,34005700800,34.0,5.0,700800.0
3015,3015,Delano,1969,MN,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-93.790522,45.041378&level=14",-93.790522,45.041378,27171101002,27.0,171.0,101002.0
3016,3016,Delano Energy Center,58122,CA,IPP Non-CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-119.294469,35.790864&level=14",-119.294469,35.790864,06107004302,6.0,107.0,4302.0
3017,3017,Delano Land 1,61116,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-119.344408,35.761217&level=14",-119.344408,35.761217,06029004606,6.0,29.0,4606.0
3018,3018,Delaware City 10,592,DE,IPP Non-CHP,GT,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-75.626811,39.600408&level=14",-75.626811,39.600408,10003016404,10.0,3.0,16404.0
3019,3019,Delaware City Plant,52193,DE,Industrial CHP,"GT, ST","NG, OG",Multiple,102524,99626,2897,Other,"map/?center=-75.6343,39.5871&level=14",-75.6343,39.5871,10003016404,10.0,3.0,16404.0
3020,3020,Delaware Generating Station,3160,PA,IPP Non-CHP,GT,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-75.125203,39.968021&level=14",-75.125203,39.968021,42101014300,42.0,101.0,14300.0
3021,3021,Delco Farm,61088,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.20905,34.318997&level=14",-78.20905,34.318997,37047930100,37.0,47.0,930100.0
3022,3022,Delilah Road Landfill,58951,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.543889,39.416111&level=14",-74.543889,39.416111,34001011702,34.0,1.0,11702.0
3023,3023,Delilah Solar Energy LLC,63194,TX,IPP Non-CHP,--,--,--,,,,Other,"map/?center=-95.163557,33.284418&level=14",-95.163557,33.284418,48159950102,48.0,159.0,950102.0
3024,3024,Dell Power Station,55340,AR,Electric Utility,"CA, CT",NG,Natural Gas Fired Combined Cycle,905,287,623,Natural Gas,"map/?center=-90.0253,35.8619&level=14",-90.0253,35.8619,05093010700,5.0,93.0,10700.0
3025,3025,Dells,4002,WI,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-91.511111,44.828056&level=14",-91.511111,44.828056,55035000600,55.0,35.0,600.0
3026,3026,Delphinus Community Solar,61329,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-94.088758,45.618565&level=14",-94.088758,45.618565,27009020300,27.0,9.0,20300.0
3027,3027,Delray,1728,MI,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-83.1019,42.2947&level=14",-83.1019,42.2947,26163984100,26.0,163.0,984100.0
3028,3028,Delta Electronics Fremont,67853,CA,Industrial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.949,37.48963&level=14",-121.949,37.48963,06001441503,6.0,1.0,441503.0
3029,3029,Delta Energy Center,55333,CA,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,1211,302,909,Natural Gas,"map/?center=-121.8439,38.0169&level=14",-121.8439,38.0169,06013305000,6.0,13.0,305000.0
3030,3030,Delta Energy Park,63259,MI,Electric Utility,"CA, CT, GT",NG,Multiple,,,,Other,"map/?center=-84.657783,42.690644&level=14",-84.657783,42.690644,26045020303,26.0,45.0,20303.0
3031,3031,Delta Power,56325,AK,Electric Utility,GT,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-145.719444,64.028056&level=14",-145.719444,64.028056,02240000400,2.0,240.0,400.0
3032,3032,Delta Solar Power I,61954,MI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-84.701,42.7&level=14",-84.701,42.7,26045020302,26.0,45.0,20302.0
3033,3033,Delta Solar Power II,61955,MI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-84.7,42.707&level=14",-84.7,42.707,26045020302,26.0,45.0,20302.0
3034,3034,Delta Wind Farm,58511,AK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-145.596667,64.013889&level=14",-145.596667,64.013889,02240000400,2.0,240.0,400.0
