error,lat,lng,POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
400 Client Error:  for url: https://geocoding.geo.census.gov/geocoder/geographies/coordinates?x=Longitude+of+award%2Fproject+place+of+performance.&y=Latitude+of+award%2Fproject+place+of+performance.&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json,Latitude of award/project place of performance.,Longitude of award/project place of performance.,,,,,,,,,,,,,,,,,,,,
,,,3161.0,37105030704.0,35.5602984,870991.0,37.0,307.04,2079019641380614.0,CT,S,35.5569172,Census Tract 307.04,2636.0,30704.0,-79.1105456,1359.0,78086070.0,-79.1106252,G5020,M,105.0
,,,3814.0,40097040502.0,36.2278866,9805797.0,40.0,405.02,207903718334919.0,CT,S,36.2233485,Census Tract 405.02,55841.0,40502.0,-95.127348,1859.0,137129507.0,-95.134185,G5020,R,97.0
,,,1847.0,26051000300.0,44.015997,6033934.0,26.0,3.0,2079052887934.0,CT,S,44.0165926,Census Tract 3,38029.0,300.0,-84.2369244,1731.0,350283124.0,-84.2387936,G5020,R,51.0
,,,2317.0,42101000600.0,39.9493845,0.0,42.0,6.0,20790510128599.0,CT,S,39.9493845,Census Tract 6,70496.0,600.0,-75.1583355,1863.0,172652.0,-75.1583355,G5020,U,101.0
,,,2347.0,22071003304.0,30.0122465,31605.0,22.0,33.04,2079070208515.0,CT,S,30.0121346,Census Tract 33.04,48418.0,3304.0,-90.0653022,1161.0,850429.0,-90.0656071,G5020,U,71.0
,,,2237.0,51760060200.0,37.5120767,0.0,51.0,602.0,20790328249056.0,CT,S,37.5120767,Census Tract 602,43438.0,60200.0,-77.4400534,1002.0,1533909.0,-77.4400534,G5020,U,760.0
,,,7819.0,51047930300.0,38.4925455,77121.0,51.0,9303.0,20790740662427.0,CT,S,38.4895139,Census Tract 9303,39276.0,930300.0,-77.9668494,2836.0,18553776.0,-77.9632862,G5020,M,47.0
,,,4941.0,18091040600.0,41.6964982,0.0,18.0,406.0,20790403080802.0,CT,S,41.6964982,Census Tract 406,43837.0,40600.0,-86.8557194,2344.0,6631290.0,-86.8557194,G5020,M,91.0
,,,2848.0,13061960300.0,31.6262293,56546964.0,13.0,9603.0,207903708835747.0,CT,S,31.6198309,Census Tract 9603,64457.0,960300.0,-84.9800249,1961.0,506093894.0,-84.9925826,G5020,R,61.0
,,,4493.0,53061940002.0,48.0967852,4834821.0,53.0,9400.02,20790922003704.0,CT,S,48.0958858,Census Tract 9400.02,35359.0,940002.0,-122.2963794,1856.0,39006153.0,-122.3021811,G5020,M,61.0
,,,4414.0,34025800200.0,40.421344,8543219.0,34.0,8002.0,20790304385589.0,CT,S,40.4117712,Census Tract 8002,79973.0,800200.0,-74.0242687,2092.0,3273914.0,-74.0198359,G5020,U,25.0
,,,,78030960900.0,18.3151695,3040068.0,78.0,9609.0,20790228304777.0,CT,S,18.3173227,Census Tract 9609,58747.0,960900.0,-64.8939756,,8100203.0,-64.8933266,G5020,M,30.0
,,,3349.0,39061008202.0,39.1991837,0.0,39.0,82.02,20790473217495.0,CT,S,39.1991837,Census Tract 82.02,13461.0,8202.0,-84.5505897,1873.0,1384490.0,-84.5505897,G5020,U,61.0
,,,8724.0,6111000800.0,34.371192,56627.0,6.0,8.0,207901149645291.0,CT,S,34.3847543,Census Tract 8,43076.0,800.0,-119.1231798,2787.0,96173090.0,-119.1189947,G5020,M,111.0
,,,4047.0,41019030000.0,43.7035899,9916499.0,41.0,300.0,20790710972841.0,CT,S,43.704987,Census Tract 300,56198.0,30000.0,-123.503467,1912.0,1451469727.0,-123.5056301,G5020,R,19.0
