POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
3020,50015953300,+44.6245892,3472548,50,9533,20790488861222,CT,S,+44.6242619,Census Tract 9533,51648,953300,-072.5645455,1398,97719222,-072.5704166,G5020,R,015
4831,06073008346,+32.9125345,0,06,83.46,20790676340350,CT,S,+32.9125345,Census Tract 83.46,58361,008346,-117.1878012,1781,11742272,-117.1878012,G5020,U,073
4732,06047002100,+36.9666821,69234375,06,21,207903717147634,CT,S,+36.9542373,Census Tract 21,55756,002100,-120.9730621,1530,1428106671,-120.9793353,G5020,R,047
3211,45007010406,+34.5716198,495281,45,104.06,2079015482163430,CT,S,+34.5783130,Census Tract 104.06,7811,010406,-082.4878902,1325,62526195,-082.4862750,G5020,M,007
2855,01097007201,+30.4558148,646269,01,72.01,207903717722431,CT,S,+30.4561048,Census Tract 72.01,8594,007201,-088.1836457,1101,44250274,-088.1792821,G5020,R,097
3899,25011040501,+42.6073376,667995,25,405.01,207903709174075,CT,S,+42.6028688,Census Tract 405.01,40370,040501,-072.3100758,1740,29276421,-072.3152174,G5020,M,011
6610,48201541301,+29.8726520,21064,48,5413.01,2079015701735143,CT,S,+29.8719383,Census Tract 5413.01,54545,541301,-095.6575970,2371,3173166,-095.6528696,G5020,U,201
4372,48201350601,+29.5545861,39306,48,3506.01,207903717156480,CT,S,+29.5545735,Census Tract 3506.01,4207,350601,-095.1726298,1831,13312950,-095.1718691,G5020,U,201
6399,48201553001,+30.0016031,54970,48,5530.01,207903717156906,CT,S,+30.0019366,Census Tract 5530.01,6582,553001,-095.4963502,2407,4679379,-095.4947839,G5020,U,201
4454,48027021702,+31.0784931,119678,48,217.02,2079015503987447,CT,S,+31.0788175,Census Tract 217.02,27816,021702,-097.4576422,2002,6586080,-097.4590392,G5020,M,027
6094,48415950300,+32.7002907,62448,48,9503,20790705596540,CT,S,+32.7002209,Census Tract 9503,49921,950300,-100.9367669,2573,21811976,-100.9368980,G5020,M,415
4853,48439106521,+32.7695062,0,48,1065.21,2079015692367202,CT,S,+32.7695062,Census Tract 1065.21,26449,106521,-097.1836908,1921,5325240,-097.1836908,G5020,U,439
6595,48439111516,+32.6661470,0,48,1115.16,207901921450079,CT,S,+32.6661470,Census Tract 1115.16,28216,111516,-097.1245117,2460,4347449,-097.1245117,G5020,U,439
5580,48201253700,+29.7635807,9797,48,2537,20790326060857,CT,S,+29.7654725,Census Tract 2537,58285,253700,-094.9708803,2319,4077314,-094.9739550,G5020,U,201
4543,48085030506,+33.1094216,2305,48,305.06,207903717231059,CT,S,+33.1098901,Census Tract 305.06,67714,030506,-096.7977841,2332,3127281,-096.7997965,G5020,U,085
2988,48201532301,+29.8592269,1484,48,5323.01,2079015701963777,CT,S,+29.8587372,Census Tract 5323.01,30407,532301,-095.5133509,1470,2343652,-095.5129694,G5020,U,201
10707,48071710201,+29.7910193,711022,48,7102.01,2079015484596951,CT,S,+29.7908759,Census Tract 7102.01,28441,710201,-094.8820574,3648,43570752,-094.8804313,G5020,M,071
1877,48439113713,+32.9289464,2468,48,1137.13,2079015922201286,CT,S,+32.9315566,Census Tract 1137.13,49077,113713,-097.1074174,599,5728608,-097.1016749,G5020,U,439
7254,48113012207,+32.7859855,0,48,122.07,20790555940680,CT,S,+32.7859855,Census Tract 122.07,16160,012207,-096.6845008,2765,5418279,-096.6845008,G5020,U,113
4142,48201322100,+29.6900429,2722,48,3221,20790326053486,CT,S,+29.6862136,Census Tract 3221,22844,322100,-095.2104213,1412,2174376,-095.2110294,G5020,U,201
1717,48439111308,+32.5706802,1548,48,1113.08,207903717269933,CT,S,+32.5747441,Census Tract 1113.08,65654,111308,-097.1317516,643,2790428,-097.1302705,G5020,U,439
3695,48085031661,+33.1014280,0,48,316.61,207903717231017,CT,S,+33.1014280,Census Tract 316.61,51202,031661,-096.7849134,1211,3018126,-096.7849134,G5020,U,085
5565,48439113946,+32.8975030,4850,48,1139.46,2079015922200852,CT,S,+32.8967277,Census Tract 1139.46,413,113946,-097.2811888,2093,1593979,-097.2808650,G5020,U,439
4436,48157672100,+29.6136115,1172221,48,6721,20790262420853,CT,S,+29.6143682,Census Tract 6721,76897,672100,-095.6232684,2124,6431584,-095.6247232,G5020,U,157
4504,48113018129,+32.8441051,6135,48,181.29,20790555940741,CT,S,+32.8431180,Census Tract 181.29,66885,018129,-096.6121908,1981,4002178,-096.6129938,G5020,U,113
12979,48201455300,+29.7768327,44829,48,4553,20790326057994,CT,S,+29.7751464,Census Tract 4553,11556,455300,-095.7902338,5978,5310680,-095.7906290,G5020,U,201
3957,48439111410,+32.6650173,23051,48,1114.10,2079015692366110,CT,S,+32.6652225,Census Tract 1114.10,64785,111410,-097.2131739,2075,1829014,-097.2133136,G5020,U,439
3700,48113016522,+32.6026997,3677484,48,165.22,207903717245384,CT,S,+32.6016896,Census Tract 165.22,56975,016522,-096.9833140,1595,18437888,-096.9814312,G5020,M,113
4379,48201552003,+29.9211525,697,48,5520.03,2079015701766435,CT,S,+29.9248033,Census Tract 5520.03,55088,552003,-095.5934743,1759,2668142,-095.5937346,G5020,U,201
1129,48167721208,+29.5267676,107144,48,7212.08,2079019653749155,CT,S,+29.5285371,Census Tract 7212.08,31425,721208,-095.0227481,431,2668525,-095.0200043,G5020,U,167
4228,48201453202,+29.6801873,0,48,4532.02,2079015702519346,CT,S,+29.6801873,Census Tract 4532.02,6093,453202,-095.5650050,1496,1317231,-095.5650050,G5020,U,201
2774,48215024117,+26.2710819,0,48,241.17,2079015497325438,CT,S,+26.2710819,Census Tract 241.17,67287,024117,-098.3041277,1138,7738205,-098.3041277,G5020,U,215
