,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
8,Pinconning White Feather,56852,MI,IPP Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-83.9494,43.8983&level=14",-83.9494,43.8983
9,Pine,4045,WI,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-88.2483,45.8275&level=14",-88.2483,45.8275
0,Pine 1 Solar,66943,PA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.45815,40.61655&level=14",-80.45815,40.61655
1,Pine 2 Solar,66944,PA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.471,40.61575&level=14",-80.471,40.61575
2,Pine Bluff Energy Center,55075,AR,IPP CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,,,,Natural Gas,"map/?center=-91.9025,34.2181&level=14",-91.9025,34.2181
3,Pine Bluff Mill,10627,AR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-91.907365,34.221213&level=14",-91.907365,34.221213
4,Pine Flat,7907,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-119.327,36.8326&level=14",-119.327,36.8326
5,Pine Grove,56690,PA,IPP Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-76.3886,40.5553&level=14",-76.3886,40.5553
6,Pine Hill,63997,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.562498,41.821004&level=14",-71.562498,41.821004
7,Pine Island Solar,60531,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-92.663649,44.206624&level=14",-92.663649,44.206624
8,Pine Island Solar CSG,60835,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-92.654324,44.220122&level=14",-92.654324,44.220122
9,Pine Ridge,61617,OK,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-98.444717,35.013397&level=14",-98.444717,35.013397
